id,institutionCode,Barcode,Catalog Number,basisOfRecord,informationWithheld,recordNumber,recordedBy,associatedMedia,eventDate,"
  continent",country,countryCode,stateProvince,county,Locality,decimalLatitude ,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,Category,Collector,Type status,Elevation,Habitat,Habit,Soil Type,Associated Species,Detrminavit,More Information
,,STC00093,502,PreservedSpecimen,"Erect herb with leaves broad narrow, it shows reticulate venation, flowers on brancharises from the root base",,,,2019-8-7,Asia,India,IN,Kerala,Thrissur,Koottanad,10.757323,76.117111,WGS110,3000,Curcuma decipiens Dulzell,Plantae,,,,Zingiberaceae,,,,,Angiosperms,Lavanya C P,No,,,,,,,
,,STC00016,847,PreservedSpecimen,"Stem angled, lanceolate, apex accuminate, nerves many, petiole long, broadly winged. Inflorescence axillary, peduncle long, spathe orbicular, concave, flowers densely packed.",,,,2019-10-12,Asia,India,IN,Kerala,Palakkad,"Koottanad, Pattambi",10.757323,76.117111,WGS111,3000,Pothos Scandens L.,Plantae,,,,Araceae,,,,,Angiosperms,Shamseena P M,No,,,,,,,
,,STC00097,648,PreservedSpecimen,"Evergreen trees, Leaves simple, opposite, decusate, exstipulate. Flowers polygamodioecious, yellow white, male flower coriaceious female flowers 1 - 3 in terminal and axillary fascicles.",,,,2020-1-23,Asia,India,IN,Kerala,Thrissur,Kuttumuck,10.548944,76.240642,WGS112,3000,Garcinia gummi-gutta ,Plantae,,,,Clusiaceae,,,,,Angiosperms,Nirosha Paul,No,,,,,,,
,,STC00008,605,PreservedSpecimen,"Erect branched herbs, Leaves varying in size and shape, simple, alternate, ovate - oblong acute at apex. Flowers in terminal, capitate cymes. Calyx 5 lobed, corolla pink. Stamens 5, ovary ovoid",,,,2019-8-17,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS113,3000,Melochia corchorifolia L.,Plantae,,,,Sterculiaceae,,,,,Angiosperms,Nirosha Paul,No,,,,,,,
,,STC00020,201,PreservedSpecimen,"Pseudo bulbs fleshy, Yellowish green 2-3 cm long, conical-ovoid,faintly 4 angled.Leaves single apical, sessile.Racemes lateral, sheathing at abse, Flowers brownish,petals small",,,,2019-8-17,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS114,3000,Bulbophyllum sterile,Plantae,,,,Orchidaceae,,,,,Angiosperms,Biniya Antony P,No,,,,,,,
,,STC00029,726,PreservedSpecimen,"Leaves shield shaped, occur singl, flowers enclosed in spathe",,,,2019-8-17,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS115,3000,Ariopsis peltata Nimmo,Plantae,,,,Araceae,,,,,Angiosperms,Santhy sasikumar,No,,,,,,,
,,STC00041,907,PreservedSpecimen,"Epiphytic or terrestrial annuals,root stoock globose, leaves 1 or 2, peltate, spathe yellow, spike cylindrical, female flowers on towards lower parts, anthers pubescent",,,,2019-8-17,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS116,3000,Ariopsis peltata Nimmo,Plantae,,,,Araceae,,,,,Angiosperms,Shilpa K S,No,,,,,,,
,,STC00049,710,PreservedSpecimen,"Rhizomatous herbs, Ovoid rhizome, leafy shootes, leaves distichous, flowers 1 or 2 in each bract, seeds many, oblong, brown",,,,2019-8-17,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS117,3000,Curcuma decipiens Palzell,Plantae,,,,Zingiberaceae,,,,,Angiosperms,Santhy sasikumar,No,,,,,,,
,,STC00051,910,PreservedSpecimen,"Rhizomatous herbs, rhizome ovoid, leafy shoots, leaves dithecous, inflorescence both lateral and central one or two in each bract. Seeds many, oblong, brown.",,,,2019-8-17,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS118,3000,Curcuma decipiens Palzell,Plantae,,,,Zingiberaceae,,,,,Angiosperms,Shilpa K S,No,,,,,,,
,,STC00057,602,PreservedSpecimen,"Erect or diffuse herbs. leaves simple, alternate, oblong-lanceolate, apex obtuse or acute. Flowers in monoecious slender axillary spikes. Male flower minute, female flowers solitary at base of spike.",,,,2019-8-17,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS119,3000,Microstachys chamalea (L.) Meull. Arg,Plantae,,,,Euphorbiaceae ,,,,,Angiosperms,Nirosha Paul,No,,,,,,,
,,STC00066,811,PreservedSpecimen,The leaves are divided into three leaflets with wedge shaped white flowers are solitary in leaf axil leaf stalk winged,,,,2019-8-17,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS120,3000,Naregamia alata Wight & Arn.,Plantae,,,,Meliaceae,,,,,Angiosperms,Shamseena P M ,No,,Moist deciduous forest ,,,,,
,,STC00072,808,PreservedSpecimen,Alternately arranged leaves are thick papery. Flowers appear in 5-12mm long spike laterally or at the end of branches ,,,,2019-8-17,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS121,3000,Microstachys chamaeler (L.) Muell. Arg,Plantae,,,,Euphorbiaceae ,,,,,Angiosperms,Shamseena P M,No,,,,,,,
,,STC00085,409,PreservedSpecimen,,,,,--,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS122,3000,Ariopsis peltata Nimmo ,Plantae,,,,Araceae,,,,,Angiosperms,s.col.,No,,,,,,,
,,STC00092,809,PreservedSpecimen,"Leaves simple, opposite or ternate. inflorescence elongated. terminal cyme of panicle pubescent. Corolla blunch.",,,,2019-8-17,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS123,3000,Rotheca serrata (L.) Steane &  Mabb,Plantae,,,,Verbenaceae,,,,,Angiosperms,Shamseena P M,No,,,,,,,
,,STC00101,901,PreservedSpecimen,"Annual heb, ercet, often branched, leaves opposite, narrowly linear, acute, simple main stem, inflorescence terminal, flowers white in cymes",,,,2019-7-15,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS124,3000,Polycarpea corymbosa (L.) Lam,Plantae,,,,Caryophyllaceae,,,,,Angiosperms,Shilpa K S,No,,,,,,,
,,STC00104,1037,PreservedSpecimen,"Tufted erect herbs, 10 25 cm tall, stem slender. Leaves many basal. Spikelets numerous.",,,,2019-8-17,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS125,3000,Rhyncospora wightiana (Nees) Steul ,Plantae,,,,Cyperaceae,,,,,Angiosperms,Sini K L,No,,,,,,,
,,STC00115,410,PreservedSpecimen,,,,,2019-8-17,Asia,India,IN,Kerala,Thrissur,Mangad,10.681344,76.185076,WGS126,3000,Naregamia alata Wight & Arn,Plantae,,,,Meliaceae,,,,,Angiosperms,s.col.,No,,,,,,,
,,STC00032,825,PreservedSpecimen,"Young stem, petioles bracts and calyx lobes. Leaves varying size and shape. Flowers in terminal cyme.",,,,2019-8-28,Asia,India,IN,Kerala,Thrissur,Mayannur,10.753022,76.38126,WGS127,3000,Melochia corchorifolia L.,Plantae,,,,Sterculiaceae,,,,,Angiosperms,Shamseena P M,No,,,,,,,
